image_id,gene,source_dir
Duodenum_ATM_Male_66_2329.jpg,ATM,images
Duodenum_ATP2A3_Male_50_1904.jpg,ATP2A3,images
Duodenum_ATP2B1_Female_53_3413.jpg,ATP2B1,images
Duodenum_ATP5IF1_Male_54_2562.jpg,ATP5IF1,images
Duodenum_ATP5MC2_Female_67_3479.jpg,ATP5MC2,images
Duodenum_ATP5PD_Female_62_3515.jpg,ATP5PD,images
Duodenum_ATP7A_Male_54_2562.jpg,ATP7A,images
Duodenum_ATP8B4_Male_35_3219.jpg,ATP8B4,images
Duodenum_ATXN1_Male_54_2562.jpg,ATXN1,images
Duodenum_AXIN2_Male_54_2562.jpg,AXIN2,images
Duodenum_B4GALT6_Male_54_2562.jpg,B4GALT6,images
Duodenum_B9D1_Male_50_1904.jpg,B9D1,images
Duodenum_BAK1_Male_66_2329.jpg,BAK1,images
Duodenum_BBS4_Female_62_3515.jpg,BBS4,images
Duodenum_BBS4_Male_35_3219.jpg,BBS4,images
Duodenum_BCAS1_Male_55_1920.jpg,BCAS1,images
Duodenum_BCL2L15_Male_55_1920.jpg,BCL2L15,images
Duodenum_BCL2L2-PABPN1_Male_73_64.jpg,BCL2L2-PABPN1,images
Duodenum_BCL2L2_Male_35_3219.jpg,BCL2L2,images
Duodenum_BCO2_Male_59_1961.jpg,BCO2,images
Duodenum_BCS1L_Male_35_3219.jpg,BCS1L,images
Duodenum_BDH1_Male_35_3219.jpg,BDH1,images
Duodenum_BICDL2_Female_67_3479.jpg,BICDL2,images
Duodenum_BIRC3_Female_64_2338.jpg,BIRC3,images
Duodenum_BIRC3_Male_66_2329.jpg,BIRC3,images
Duodenum_BIVM-ERCC5_Male_55_1920.jpg,BIVM-ERCC5,images
Duodenum_BLOC1S6_Male_35_3219.jpg,BLOC1S6,images
Duodenum_BLTP3B_Female_67_3479.jpg,BLTP3B,images
Duodenum_BMP1_Male_54_2562.jpg,BMP1,images
Duodenum_BPNT2_Male_54_2562.jpg,BPNT2,images
Duodenum_BTN3A1_Female_60_3548.jpg,BTN3A1,images
Duodenum_BUD13_Female_62_3515.jpg,BUD13,images
Duodenum_C11orf96_Male_55_1920.jpg,C11orf96,images
Duodenum_C17orf67_Male_35_3219.jpg,C17orf67,images
Duodenum_C19orf47_Male_35_3219.jpg,C19orf47,images
Duodenum_C1orf226_Female_67_3479.jpg,C1orf226,images
Duodenum_C1orf35_Female_62_3515.jpg,C1orf35,images
Duodenum_C20orf96_Male_55_1920.jpg,C20orf96,images
Duodenum_C2CD3_Female_62_3515.jpg,C2CD3,images
Duodenum_C2orf68_Female_67_3479.jpg,C2orf68,images
Duodenum_C9orf64_Female_67_3479.jpg,C9orf64,images
Duodenum_C9orf72_Male_54_2562.jpg,C9orf72,images
